gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1837765142																										10589711										http://creativecommons.org/licenses/by/4.0/			2018-04-03T11:38:02Z			https://www.inaturalist.org/observations/10589711				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10589711	10589711		Mark Rosenstein								wild																					2018-03-21T15:54:00-04:00	19:54:00Z						2018/03/21 3:54 PM EDT																SB	Central				Lovukol, Central, Solomon Islands											-9.0265016667	159.0434																																					23528972				2018-04-03T11:32:36Z				134156								Amphiprion perideraion								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837761451																										10579698										http://creativecommons.org/licenses/by/4.0/			2018-04-03T11:28:32Z			https://www.inaturalist.org/observations/10579698				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10579698	10579698		Mark Rosenstein								wild																					2018-03-21T15:44:00-04:00	19:44:00Z						2018/03/21 3:44 PM EDT																SB	Central				Russell Islands, Solomon Islands											-9.0265016667	159.0434																																					23505030				2018-04-02T22:53:17Z				180381								Amphiprion chrysopterus								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837760894																										10577633										http://creativecommons.org/licenses/by/4.0/			2018-04-03T11:34:00Z			https://www.inaturalist.org/observations/10577633				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10577633	10577633		Mark Rosenstein								wild																					2018-03-21T15:02:00-04:00	19:02:00Z						2018/03/21 3:02 PM EDT																SB	Central				Russell Islands, Solomon Islands											-9.0265016667	159.0434																																					23500203				2018-04-02T21:19:12Z				57741								Amphiprion melanopus								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837757253																										10565233										http://creativecommons.org/licenses/by-nc/4.0/			2018-04-03T19:50:59Z			https://www.inaturalist.org/observations/10565233				© naturew some rights reserved	naturew												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10565233	10565233		naturew								wild																					2017-10-03T15:53:00-05:00	20:53:00Z						2017/10/03 3:53 PM CST																TH	Krabi				Ko Phi Phi Le											7.6739487748	98.7677443027		50																																			23472092				2018-04-02T06:27:43Z				154702								Amphiprion akallopisos								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837750730																										10545271										http://creativecommons.org/licenses/by-nc/4.0/			2018-04-02T14:02:55Z			https://www.inaturalist.org/observations/10545271				© Tim Woodward some rights reserved	Tim Woodward												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10545271	10545271		Tim Woodward								wild																					2018-02-19							2018-02-19																					Unnamed Road, Pulau Perhentian Kecil, Besut, Terengganu, Malaysia											5.9187741049	102.7439951152		66042																																			23431245				2018-04-01T12:54:22Z				132688								Amphiprion ocellaris								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837749652																										10542256										http://creativecommons.org/licenses/by/4.0/			2018-04-04T21:07:03Z			https://www.inaturalist.org/observations/10542256				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10542256	10542256		Mark Rosenstein								wild																					2018-03-21T09:56:00-04:00	13:56:00Z						2018/03/21 9:56 AM EDT																SB	Central				Lovukol, Central, Solomon Islands											-8.9878366667	159.2355116667																																					23423161				2018-04-01T05:29:47Z				180381								Amphiprion chrysopterus								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837736381																										10474987										http://creativecommons.org/licenses/by-nc/4.0/			2018-04-02T15:07:26Z			https://www.inaturalist.org/observations/10474987				© desertnaturalist some rights reserved	desertnaturalist												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10474987	10474987		desertnaturalist								wild																					1993-04-02T10:00:00-08:00	18:00:00Z						1993/04/02 10:00 AM PST																PW	Melekeok				Palau											7.51498	134.58252		38566																																			23273713				2018-03-28T18:02:04Z				180381								Amphiprion chrysopterus								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837735776																										10437095										http://creativecommons.org/licenses/by-nc/4.0/			2018-04-02T15:57:06Z			https://www.inaturalist.org/observations/10437095				© bja2800dk some rights reserved	bja2800dk												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/10437095	10437095		bja2800dk								wild									Karang Bayangang dive site												2016-04-30T11:00:00+02:00	09:00:00Z						2016/04/30 11:00 AM CEST																ID	Papua Barat				Warakaraket, Yellu, Misool Sel., Kabupaten Raja Ampat, Papua Bar., Indonesia											-2.252866799	130.625295639		3585																																			23191591				2018-03-26T20:48:18Z				136345								Amphiprion clarkii								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837095734																										2886579										http://creativecommons.org/licenses/by-nc/4.0/			2018-03-31T20:08:17Z			https://www.inaturalist.org/observations/2886579				© veiortiz some rights reserved	veiortiz												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/2886579	2886579		veiortiz								wild									Melanopus??? Confused with the blue or bluish lining												2016-03-26T16:47:01+08:00	08:47:01Z						Sat Mar 26 2016 16:47:01 GMT+0800 (GMT+8)																PH	Batangas				13.698709, 120.865195											13.698709	120.865195		12976																																											57740								Amphiprion frenatus								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
1837095354																										1927133										http://creativecommons.org/licenses/by/4.0/			2018-03-28T15:26:28Z			https://www.inaturalist.org/observations/1927133				© Mark Rosenstein some rights reserved	Mark Rosenstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1927133	1927133		Mark Rosenstein								wild																					2015-08-16T17:08:38+07:00	10:08:38Z						2015-08-16 17:08:38																ID	Bali				Karang Asem, Bali, Indonesia											-8.2942883333	115.61208																																					3666494				2015-09-08T13:00:17Z				180382								Amphiprion sebae								Animalia	Chordata	Actinopterygii	Perciformes	Pomacentridae	Amphiprion				species							
