gbifID;identifier;license
1901051817;https://static.inaturalist.org/photos/24168064/original.jpeg?1535881734;http://creativecommons.org/licenses/by-nc/4.0/
1901051817;https://static.inaturalist.org/photos/24168074/original.jpeg?1535881754;http://creativecommons.org/licenses/by-nc/4.0/
1901051817;https://static.inaturalist.org/photos/24168079/original.jpeg?1535881773;http://creativecommons.org/licenses/by-nc/4.0/
1901051761;https://static.inaturalist.org/photos/24167900/original.jpeg?1535881180;http://creativecommons.org/licenses/by-nc/4.0/
1901051761;https://static.inaturalist.org/photos/24167915/original.jpeg?1535881205;http://creativecommons.org/licenses/by-nc/4.0/
1901051761;https://static.inaturalist.org/photos/24167916/original.jpeg?1535881219;http://creativecommons.org/licenses/by-nc/4.0/
1901051761;https://static.inaturalist.org/photos/24167928/original.jpeg?1535881259;http://creativecommons.org/licenses/by-nc/4.0/
1901049900;https://static.inaturalist.org/photos/24154558/original.jpeg?1535853315;http://creativecommons.org/licenses/by-nc/4.0/
1901049881;https://static.inaturalist.org/photos/24154610/original.jpeg?1535853351;http://creativecommons.org/licenses/by-nc/4.0/
1901047434;https://static.inaturalist.org/photos/24136970/original.png?1535833995;http://creativecommons.org/licenses/by/4.0/
1901047434;https://static.inaturalist.org/photos/24136975/original.png?1535833998;http://creativecommons.org/licenses/by/4.0/
1901041074;https://static.inaturalist.org/photos/24090641/original.jpg?1535759927;http://creativecommons.org/licenses/by-nc/4.0/
1901041074;https://static.inaturalist.org/photos/24090684/original.jpg?1535760008;http://creativecommons.org/licenses/by-nc/4.0/
1901041043;https://static.inaturalist.org/photos/24090221/original.jpg?1535759329;http://creativecommons.org/licenses/by-nc/4.0/
1901041043;https://static.inaturalist.org/photos/24090509/original.jpg?1535759741;http://creativecommons.org/licenses/by-nc/4.0/
1901041043;https://static.inaturalist.org/photos/24090511/original.jpg?1535759747;http://creativecommons.org/licenses/by-nc/4.0/
1901041043;https://static.inaturalist.org/photos/24090513/original.jpg?1535759752;http://creativecommons.org/licenses/by-nc/4.0/
1899816170;https://static.inaturalist.org/photos/11608849/original.jpg?1509727498;http://creativecommons.org/licenses/by-nc/4.0/
1899815235;https://static.inaturalist.org/photos/10489084/original.jpg?1505548422;http://creativecommons.org/licenses/by-nc/4.0/
1899811029;https://static.inaturalist.org/photos/24057457/original.jpg?1535717406;http://creativecommons.org/licenses/by-nc/4.0/
1899804908;https://static.inaturalist.org/photos/24001843/original.jpeg?1535615604;http://creativecommons.org/licenses/by-nc/4.0/
1899804264;https://static.inaturalist.org/photos/23995512/original.jpeg?1535598537;http://creativecommons.org/licenses/by-nc/4.0/
1899804263;https://static.inaturalist.org/photos/23995518/original.jpeg?1535598545;http://creativecommons.org/licenses/by-nc/4.0/
1899804048;https://static.inaturalist.org/photos/23994077/original.jpg?1535596470;http://creativecommons.org/licenses/by-nc/4.0/
1899804048;https://static.inaturalist.org/photos/23994082/original.jpg?1535596476;http://creativecommons.org/licenses/by-nc/4.0/
1899803726;https://static.inaturalist.org/photos/23988792/original.jpeg?1535588974;http://creativecommons.org/licenses/by-nc/4.0/
1899803692;https://static.inaturalist.org/photos/23988729/original.jpeg?1535588875;http://creativecommons.org/licenses/by-nc/4.0/
1899798743;https://static.inaturalist.org/photos/23951031/original.jpg?1535528896;http://creativecommons.org/licenses/by-nc/4.0/
