gbifID;acceptedScientificName;scientificName;basisOfRecord;preparations;datasetName;rightsHolder;license
1883480946;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;guyincognito;http://creativecommons.org/licenses/by-nc/4.0/
1883480885;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;guyincognito;http://creativecommons.org/licenses/by-nc/4.0/
1883457928;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1883457761;Amphiprion melanopus Bleeker, 1852;Amphiprion melanopus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1883457210;Amphiprion leucokranos Allen, 1973;Amphiprion leucokranos;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1883457176;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1880655307;Amphiprion latezonatus Waite, 1900;Amphiprion latezonatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880655146;Amphiprion akindynos Allen, 1972;Amphiprion akindynos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619147;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619093;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619086;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619085;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619077;Amphiprion ephippium (Bloch, 1790);Amphiprion ephippium;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619045;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619024;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880619007;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880618938;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880617061;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880616795;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880616720;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880616437;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880589683;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;qin_birder;http://creativecommons.org/licenses/by-nc/4.0/
1880582688;Amphiprion leucokranos Allen, 1973;Amphiprion leucokranos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880582567;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880582522;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880582493;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880582324;Amphiprion leucokranos Allen, 1973;Amphiprion leucokranos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880582323;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880556967;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;John Sear;http://creativecommons.org/licenses/by-nc/4.0/
1880553586;Amphiprion akindynos Allen, 1972;Amphiprion akindynos;HumanObservation;;iNaturalist research-grade observations;Kelly-Anne Masterman;http://creativecommons.org/licenses/by-nc/4.0/
1880531664;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;evolution_dive_resort;http://creativecommons.org/licenses/by-nc/4.0/
1880524539;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880524528;Amphiprion barberi Allen, Drew & Kaufman, 2008;Amphiprion barberi;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880524517;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880524464;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880524339;Amphiprion barberi Allen, Drew & Kaufman, 2008;Amphiprion barberi;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880523609;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880523599;Amphiprion chrysopterus Cuvier, 1830;Amphiprion chrysopterus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880523577;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1880521640;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Adelma Hills;http://creativecommons.org/licenses/by-nc/4.0/
1880492428;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1880480576;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1880480512;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1851313878;Amphiprion percula (Lacepède, 1802);Amphiprion percula (Lacep��de, 1802);PreservedSpecimen;;;;
1851313815;Amphiprion bicinctus Rüppell, 1828-1830;Amphiprion bicinctus RǬppell, 1830;PreservedSpecimen;;;;
1851313788;Amphiprion bicinctus Rüppell, 1828-1830;Amphiprion bicinctus RǬppell, 1830;PreservedSpecimen;;;;
1850988474;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;seasav;http://creativecommons.org/licenses/by-nc/4.0/
1850987887;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850987354;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;mydiveraft;http://creativecommons.org/licenses/by-nc/4.0/
1850984277;Amphiprion polymnus (Linnaeus, 1758);Amphiprion polymnus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850982484;Amphiprion sandaracinos Allen, 1972;Amphiprion sandaracinos;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850982483;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850978214;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850977630;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850977003;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850975338;Amphiprion sandaracinos Allen, 1972;Amphiprion sandaracinos;HumanObservation;;iNaturalist research-grade observations;mydiveraft;http://creativecommons.org/licenses/by-nc/4.0/
1850971409;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850971136;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;designedforx;http://creativecommons.org/licenses/by-nc/4.0/
1850970911;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;designedforx;http://creativecommons.org/licenses/by-nc/4.0/
1850968092;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850967789;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850967281;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850966640;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850966062;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
